entry_time,exit_time,entry_price,exit_price,stop_loss,pnl_pct,capital,resultado
2018-01-04 09:00:00,2018-01-05 09:00:00,14221.05,15429.6,13661.845714285713,8.4983,10849.83,WIN
2018-01-07 17:00:00,2018-01-08 08:00:00,16000.0,15410.910000000002,15410.910000000002,-3.6818,10450.36,STOP LOSS
2018-01-08 10:00:00,2018-01-08 14:00:00,14650.0,13830.107142857143,13830.107142857143,-5.5965,9865.5,STOP LOSS
2018-01-08 15:00:00,2018-01-11 04:00:00,13489.95,12208.398571428572,12208.398571428572,-9.5,8928.28,STOP LOSS
2018-01-11 06:00:00,2018-01-15 13:00:00,12868.84,14190.03,11586.211428571429,10.2666,9844.9,WIN
2018-01-16 01:00:00,2018-01-16 07:00:00,13143.97,12459.231428571427,12459.231428571427,-5.2095,9332.03,STOP LOSS
2018-01-16 08:00:00,2018-01-16 09:00:00,12340.0,11365.577142857142,11365.577142857142,-7.8965,8595.13,STOP LOSS
2018-01-16 10:00:00,2018-01-16 22:00:00,10900.02,9660.357142857143,9660.357142857143,-11.373,7617.6,STOP LOSS
2018-01-17 11:00:00,2018-01-17 22:00:00,9709.95,11419.0,8072.42,17.601,8958.38,WIN
2018-01-21 01:00:00,2018-01-21 07:00:00,12205.0,11652.177142857143,11652.177142857143,-4.5295,8552.61,STOP LOSS
2018-01-21 08:00:00,2018-01-21 16:00:00,11721.43,11069.995714285715,11069.995714285715,-5.5576,8077.29,STOP LOSS
2018-01-22 14:00:00,2018-01-23 17:00:00,10519.96,11335.0,9805.814285714285,7.7476,8703.08,WIN
2018-01-26 09:00:00,2018-01-27 16:00:00,10774.84,11452.62,10271.404285714285,6.2904,9250.54,WIN
2018-01-29 02:00:00,2018-01-29 11:00:00,11499.63,11158.958571428571,11158.958571428571,-2.9625,8976.5,STOP LOSS
2018-01-30 02:00:00,2018-01-30 13:00:00,10949.99,10659.732857142857,10659.732857142857,-2.6508,8738.55,STOP LOSS
2018-01-30 14:00:00,2018-01-30 15:00:00,10620.76,10229.24142857143,10229.24142857143,-3.6864,8416.42,STOP LOSS
2018-01-30 16:00:00,2018-01-30 18:00:00,10323.25,9911.842857142858,9911.842857142858,-3.9852,8081.0,STOP LOSS
